name,gender,SSN,age,complete address,zipcode of residence,state of residence,S1,S2,S3
Kimberly Anderson,Female,119-23-8872,35,689 Kelly Skyway Suite 143 Lake William  NM 61493,61493,NM,STRONGLY AGREE,don't know,DISAGREE
Robin Barrett,Female,282-99-3649,46,755 Sara Lake New Marcchester  PA 39559,39559,PA,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
Julie Bray,Female,526-87-6035,25,8512 Sophia Flats Lindsayborough  TN 62079,62079,TN,STRONGLY AGREE,DISAGREE,STRONGLY DISAGREE
Paul Rodriguez,Male,692-32-3291,64,1225 Myers Causeway Suite 188 Smithmouth  NC 78983,78983,NC,DISAGREE,DISAGREE,AGREE
Arthur Andersen,Male,054-34-4905,70,84571 Heath Springs Suite 419 New Timothyhaven  MN 03613,3613,MN,STRONGLY AGREE,not sure,DISAGREE
Katrina Rodgers,Female,492-87-6662,74,275 Roberts Islands West James  DE 45979,45979,DE,STRONGLY AGREE,DISAGREE,DISAGREE
Mr. Andrew Cross,Male,524-58-4734,27,7107 Cook Loaf Hoopertown  RI 76089,76089,RI,DISAGREE,STRONGLY AGREE,DISAGREE
Sean Holmes,Male,061-64-8630,39,5081 Paula Motorway Lake Michaelton  WI 13843,13843,WI,DISAGREE,AGREE,STRONGLY AGREE
Laurie Chung,Female,697-88-2161,51,7059 Gonzales Causeway Brookehaven  SC 71949,71949,SC,AGREE,DISAGREE,STRONGLY AGREE
Heather Hayes,Female,742-94-1738,40,635 Myers Branch Apt. 981 Lake Kenneth  HI 64233,64233,HI,AGREE,AGREE,AGREE
Jessica Gross,Female,857-68-4608,53,662 Jason Streets Apt. 818 West John  MA 70678,70678,MA,AGREE,AGREE,STRONGLY DISAGREE
Alan Roth,Male,707-96-7845,45,26355 Woodard Meadows Suite 242 Port Coreyberg  TX 49821,49821,TX,DISAGREE,STRONGLY AGREE,AGREE
Margaret Rodriguez,Female,425-41-6338,43,20174 Gonzales Gateway Apt. 036 Lake Ericafurt  MA 07144,7144,MA,STRONGLY DISAGREE,STRONGLY DISAGREE,AGREE
Mark Rosales,Male,102-42-3860,21,4553 Robert View Apt. 758 Port Jasonport  OR 03837,3837,OR,AGREE,AGREE,STRONGLY DISAGREE
Robin Johnson,Female,312-94-0851,58,502 Waters Drives Apt. 320 West Philip  TX 93023,93023,TX,DISAGREE,STRONGLY DISAGREE,AGREE
Sierra Howard,Female,764-51-3986,35,9528 Samuel Prairie Danielleton  CA 57863,57863,CA,AGREE,AGREE,no community
Garrett Duran,Male,213-60-9183,31,25564 Denise Alley Suite 770 Margaretchester  UT 33615,33615,UT,DISAGREE,DISAGREE,STRONGLY DISAGREE
Denise Taylor,Female,497-14-9971,38,066 Hunt Trace Suite 899 Lake Thomasmouth  NC 06324,6324,NC,AGREE,STRONGLY DISAGREE,AGREE
Kristen Hamilton,Female,104-97-6203,72,9903 Le Junctions Apt. 815 South Christine  WV 08468,8468,WV,AGREE,DISAGREE,STRONGLY AGREE
Mathew Torres,Male,064-57-1398,41,816 Mary Streets Apt. 295 South Tinahaven  LA 78437,78437,LA,STRONGLY DISAGREE,AGREE,STRONGLY DISAGREE
Michael Wilson,Male,347-93-0860,45,96130 David Coves Suite 749 Cooperland  MS 16479,16479,MS,STRONGLY DISAGREE,DISAGREE,sometimes
Robert Flynn,Male,594-91-1836,48,1615 Phillip Lake West Wendy  IL 28028,28028,IL,DISAGREE,AGREE,STRONGLY DISAGREE
Sandy Alexander,Female,290-49-9077,70,90083 Flores Extensions Lake Ashleyport  UT 55287,55287,UT,STRONGLY AGREE,STRONGLY DISAGREE,AGREE
Dr. Audrey Hubbard MD,Female,628-83-4020,35,0923 Sandra Viaduct Suite 513 Woodburgh  SD 95017,95017,SD,AGREE,DISAGREE,AGREE
Brittany Sullivan,Female,276-08-9573,44,348 Blake Lake Lake Stephanie  CO 45351,45351,CO,DISAGREE,STRONGLY DISAGREE,AGREE
Mason Williams,Male,196-30-3280,25,17387 Ashley Mills Apt. 473 Port Justin  DC 23700,23700,DC,AGREE,STRONGLY AGREE,STRONGLY AGREE
Ronald Heath,Male,458-71-9776,32,12019 Jeff Fort Suite 267 East Sylviahaven  KY 54248,54248,KY,AGREE,STRONGLY DISAGREE,DISAGREE
Lisa Simpson,Female,797-51-5639,38,12389 Foster Mills Suite 566 Ballardberg  CT 08400,8400,CT,STRONGLY AGREE,don't know,sometimes
Paula Lindsey,Female,106-67-9855,63,USS Johnston FPO AE 88995,88995,AE,DISAGREE,STRONGLY AGREE,AGREE
Stacy Barrett,Female,125-41-4745,24,8255 Ross Wells Apt. 023 Lake Deborah  NE 56133,56133,NE,STRONGLY AGREE,AGREE,DISAGREE
Breanna Sullivan,Female,871-52-6585,62,767 Perez Views Benitezborough  HI 21827,21827,HI,STRONGLY DISAGREE,STRONGLY AGREE,AGREE
Dillon Hernandez,Male,444-51-4619,64,116 David Stream Apt. 423 Roychester  AZ 21308,21308,AZ,AGREE,AGREE,AGREE
Sherry Andersen,Female,178-28-7667,77,5191 Wood Summit Hodgesshire  MN 18100,18100,MN,DISAGREE,STRONGLY DISAGREE,STRONGLY AGREE
Brooke Carr,Female,877-21-3089,78,4141 Michael Vista Onealborough  MN 39089,39089,MN,AGREE,AGREE,AGREE
Martin Wood,Male,681-11-9588,26,685 Michael Freeway Suite 508 New Davidville  CA 70748,70748,CA,AGREE,DISAGREE,DISAGREE
Brett Anderson,Male,034-34-2527,66,USNS Torres FPO AA 86182,86182,AA,DISAGREE,STRONGLY DISAGREE,STRONGLY AGREE
Adam Torres,Male,803-27-8893,51,07014 Richardson Junctions Suite 112 Port Jamesbury  PA 26026,26026,PA,AGREE,DISAGREE,STRONGLY DISAGREE
Jesse Myers,Male,538-55-1720,73,05074 Emma Plaza Lake Meganburgh  AR 76640,76640,AR,STRONGLY AGREE,DISAGREE,AGREE
Kayla Foley,Female,259-50-9976,36,961 Hoffman Roads Port Wendy  WV 52135,52135,WV,AGREE,DISAGREE,STRONGLY AGREE
Donald Benton,Male,886-79-6801,77,8201 Ramirez Greens Howardmouth  WI 54963,54963,WI,DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
Jonathan Saunders,Male,301-42-4207,50,748 Jamie Hollow Suite 720 New David  KY 87278,87278,KY,DISAGREE,STRONGLY AGREE,no community
Monica Sullivan,Female,463-51-7676,62,88519 Christopher Fork Parksport  WI 64708,64708,WI,AGREE,DISAGREE,STRONGLY AGREE
Thomas Massey,Male,129-41-6560,52,06261 Martin Estate Apt. 953 North Cynthiaborough  VA 35504,35504,VA,STRONGLY AGREE,STRONGLY AGREE,DISAGREE
Judith Williams,Female,267-37-6419,48,859 Timothy Avenue Hopkinsburgh  KS 97816,97816,KS,STRONGLY AGREE,STRONGLY AGREE,sometimes
Kevin Robertson,Male,390-10-3466,58,1002 James Landing Suite 541 Port Scottville  AK 45312,45312,AK,STRONGLY AGREE,STRONGLY AGREE,STRONGLY DISAGREE
Kimberly Farley,Female,642-38-3560,57,177 Juarez Points North Toddmouth  OH 62691,62691,OH,STRONGLY AGREE,AGREE,no community
Kristina Johnson,Female,396-96-3254,65,580 Brett Motorway Petersonshire  IA 36999,36999,IA,DISAGREE,AGREE,STRONGLY AGREE
Robert Delacruz,Male,751-47-8729,68,39220 Mark Track Nguyenport  SC 77427,77427,SC,AGREE,STRONGLY AGREE,DISAGREE
Julie Moore,Female,286-17-9428,52,67760 James Wall Rodriguezton  KY 28001,28001,KY,AGREE,STRONGLY DISAGREE,STRONGLY AGREE
Joshua Crawford,Male,282-61-1138,31,PSC 4822  Box 0478 APO AP 52555,52555,AP,DISAGREE,don't know,DISAGREE
Jason Hall,Male,092-67-0072,20,07052 Allen Forge Deannastad  LA 55290,55290,LA,AGREE,AGREE,AGREE
Eric Hays,Male,461-73-0156,36,9037 Thomas Isle Pricefort  WV 73167,73167,WV,STRONGLY AGREE,STRONGLY AGREE,DISAGREE
Joshua Patterson,Male,887-14-3047,51,777 Guerra Mountains New Melissaborough  RI 27325,27325,RI,DISAGREE,DISAGREE,AGREE
Bethany Roman,Female,586-04-9425,71,7555 Valencia Islands Apt. 529 Lake James  KS 42499,42499,KS,DISAGREE,STRONGLY DISAGREE,DISAGREE
Nicole Perez,Female,663-17-5125,61,23400 Richard Oval Suite 411 Samanthamouth  WA 58895,58895,WA,AGREE,DISAGREE,STRONGLY DISAGREE
Sergio Massey,Male,742-99-6989,27,2475 Christopher Highway Apt. 171 Benjaminfurt  NM 44823,44823,NM,AGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
Carolyn Morrison,Female,359-63-2255,32,50121 Austin Crossroad Suite 152 Jenniferfurt  AL 09279,9279,AL,STRONGLY AGREE,DISAGREE,DISAGREE
Frank Blair,Male,022-21-7508,54,7127 Amy Stream Suite 159 North Jillstad  DC 93492,93492,DC,STRONGLY DISAGREE,AGREE,STRONGLY DISAGREE
Jeffrey Brown,Male,326-91-0628,39,PSC 1029  Box 8901 APO AP 15596,15596,AP,STRONGLY AGREE,STRONGLY DISAGREE,AGREE
Matthew Hood,Male,397-49-4667,38,73937 Ann Plains North Kelly  NM 41762,41762,NM,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY AGREE
Amy Richard,Female,899-74-2576,24,133 Elizabeth Rue East Johnland  ME 68612,68612,ME,STRONGLY AGREE,AGREE,STRONGLY DISAGREE
Meghan Acevedo,Female,248-30-3400,50,1096 Williamson Station Suite 109 Harrisburgh  AK 68482,68482,AK,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY AGREE
Joseph Guerra,Male,527-88-2835,45,97185 Michael Pine Apt. 351 Brightport  NE 30852,30852,NE,STRONGLY AGREE,AGREE,DISAGREE
Dr. Evelyn Huffman,Female,562-87-7838,38,486 Kelly Inlet Apt. 725 East Sarahborough  DE 34162,34162,DE,AGREE,STRONGLY DISAGREE,DISAGREE
Daniel Reed,Male,319-26-2122,36,5960 Kylie Mountain Apt. 511 West Andrea  AZ 95174,95174,AZ,AGREE,DISAGREE,DISAGREE
Courtney Castillo,Female,441-49-0604,63,074 Abigail Junction South Stacy  AR 51544,51544,AR,DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
Eric Swanson,Male,456-24-1768,24,6488 Gillespie Rue Apt. 810 Josephborough  OH 04009,4009,OH,AGREE,STRONGLY DISAGREE,AGREE
Patrick Carter,Male,067-86-2172,50,566 Clark Dam Suite 784 Gomezport  NH 21156,21156,NH,DISAGREE,AGREE,STRONGLY AGREE
John White,Male,583-05-3249,51,2937 Rodriguez Trace Julieburgh  CT 59400,59400,CT,STRONGLY DISAGREE,AGREE,AGREE
Kathleen Gould,Female,213-55-9582,28,21546 Phillips Forges Wilsonborough  RI 89547,89547,RI,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE
Cynthia Young,Female,457-11-8315,61,42533 Rubio Point West Keith  IN 96910,96910,IN,STRONGLY AGREE,AGREE,STRONGLY DISAGREE
Brittany Ramirez,Female,378-06-2903,70,0439 Christopher Skyway North Grantside  HI 15116,15116,HI,AGREE,AGREE,STRONGLY DISAGREE
Ashley Smith,Female,573-76-7246,33,3085 Gwendolyn Plaza Lake Ryan  MD 71142,71142,MD,STRONGLY AGREE,AGREE,STRONGLY DISAGREE
Cassandra Chavez,Female,472-82-4966,32,251 Kim Estate Carterside  AR 96864,96864,AR,STRONGLY AGREE,AGREE,DISAGREE
Carol Rivera,Female,038-43-4183,46,768 Allen Via Apt. 799 Yolandamouth  RI 42294,42294,RI,STRONGLY AGREE,AGREE,STRONGLY DISAGREE
Melissa Powers,Female,248-92-7820,27,4148 Garza Well Collinsmouth  GA 59040,59040,GA,STRONGLY AGREE,don't know,DISAGREE
Christopher Clark,Male,765-39-0769,37,877 Wheeler Islands Laurieborough  RI 57098,57098,RI,DISAGREE,STRONGLY DISAGREE,STRONGLY AGREE
Brian Davis,Male,065-80-0149,64,510 Mark Groves Christineport  KY 19994,19994,KY,STRONGLY DISAGREE,STRONGLY DISAGREE,STRONGLY AGREE
Jennifer Freeman,Female,333-24-2560,46,194 Hanson Tunnel Suite 022 Lake Dustin  PA 06827,6827,PA,DISAGREE,STRONGLY DISAGREE,depends
Andrea Jimenez,Female,880-52-1024,52,0497 Jeffrey Flats Suite 737 West Pamela  AR 66869,66869,AR,AGREE,maybe,STRONGLY DISAGREE
Kelly Roberson,Female,753-50-4871,41,836 Evan Meadow Jeremyburgh  MO 83197,83197,MO,DISAGREE,STRONGLY DISAGREE,AGREE
Randall Johnson,Male,008-28-4648,68,4306 Farmer Plain Apt. 449 Port Amanda  NV 98262,98262,NV,STRONGLY AGREE,DISAGREE,STRONGLY AGREE
Stacey Garcia,Female,016-09-8005,67,479 Bauer Motorway West Jacob  VT 06440,6440,VT,DISAGREE,maybe,DISAGREE
Karen Carroll,Female,702-33-9551,41,47698 Rich Alley Suite 299 Lake Kelseyborough  MI 68935,68935,MI,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
Marvin Hoover,Male,328-58-9795,21,6416 Weber Shore Jacksonton  NY 67859,67859,NY,AGREE,DISAGREE,STRONGLY DISAGREE
Sara Taylor,Female,344-82-5800,35,1790 Whitaker Curve Apt. 898 North Robertport  WI 88176,88176,WI,STRONGLY AGREE,STRONGLY DISAGREE,AGREE
Donald Hayes,Male,243-64-2096,35,4027 Turner Ports Suite 155 Johnfurt  KS 01084,1084,KS,AGREE,AGREE,STRONGLY DISAGREE
Steven Stout,Male,440-07-1123,73,Unit 0466 Box 5224 DPO AP 61020,61020,AP,STRONGLY DISAGREE,DISAGREE,STRONGLY DISAGREE
Jessica Ortiz,Female,143-21-2402,54,36726 Choi Prairie Suite 759 Anthonytown  SD 89328,89328,SD,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE
Cynthia Johnson,Female,052-72-4696,68,234 Mark Meadows Andreatown  FL 40633,40633,FL,DISAGREE,STRONGLY DISAGREE,DISAGREE
Douglas Smith,Male,678-03-9116,52,921 Bryant Brooks Suite 738 Port Anthonyside  IA 74012,74012,IA,AGREE,STRONGLY DISAGREE,DISAGREE
Steven Wood,Male,422-13-6935,52,0307 Daniel Highway Apt. 306 New Michael  CT 33735,33735,CT,DISAGREE,DISAGREE,AGREE
Kristina Chambers,Female,859-50-3977,44,44605 Martinez Oval Suite 682 North Jamesbury  NH 16461,16461,NH,AGREE,AGREE,DISAGREE
Michael Smith,Male,370-81-9735,42,03413 Sean Branch Rittershire  TN 72230,72230,TN,STRONGLY AGREE,STRONGLY DISAGREE,DISAGREE
David Navarro,Male,004-71-4596,24,1036 Lisa Rest Port Kaylabury  MT 60222,60222,MT,AGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
Timothy Flores,Male,675-96-9301,20,369 Spencer Gateway Apt. 649 East Benjamin  CA 63526,63526,CA,AGREE,STRONGLY DISAGREE,STRONGLY AGREE
Mary Young,Female,118-79-4392,19,34135 Christopher Streets Apt. 406 Kristinaborough  WA 37243,37243,WA,STRONGLY AGREE,DISAGREE,DISAGREE
Abigail Chapman,Female,843-47-7535,78,56043 Samantha Mission Davidhaven  HI 12665,12665,HI,STRONGLY AGREE,DISAGREE,STRONGLY AGREE
Richard Richardson,Male,643-67-2074,68,7903 Rodriguez Lakes West Ashley  MN 95140,95140,MN,DISAGREE,DISAGREE,DISAGREE
Joseph Cunningham,Male,512-15-7846,19,022 Ibarra Falls South Angelafort  NC 97196,97196,NC,AGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
Rick Hood,Male,886-03-2873,60,0184 Brendan Mills Suite 292 Ryanchester  RI 60880,60880,RI,STRONGLY DISAGREE,AGREE,STRONGLY DISAGREE
Douglas Stevens,Male,326-03-4496,36,48817 Steven Divide Port William  FL 35836,35836,FL,STRONGLY AGREE,STRONGLY AGREE,AGREE
Kelly Farley,Female,169-22-5227,50,9266 Robert Pass Apt. 984 North Jamesmouth  NH 90885,90885,NH,DISAGREE,STRONGLY AGREE,DISAGREE
John Maxwell,Male,631-89-8657,43,905 Tristan Point Apt. 381 Duncanport  OR 33768,33768,OR,STRONGLY AGREE,AGREE,STRONGLY DISAGREE
Kelly Parsons,Female,315-72-8446,70,218 Fox Flat Apt. 303 South Brianna  AZ 54794,54794,AZ,AGREE,DISAGREE,STRONGLY DISAGREE
Joy Cuevas,Female,670-23-9489,32,18276 Amanda Haven Apt. 899 South Timfurt  IA 18490,18490,IA,STRONGLY AGREE,DISAGREE,DISAGREE
Frederick Keller,Male,743-84-3875,33,05197 Wood Rest South Leah  TN 98696,98696,TN,DISAGREE,STRONGLY AGREE,sometimes
Crystal Schroeder,Female,662-05-8413,48,47220 Welch Shore Apt. 833 Marychester  OR 58574,58574,OR,STRONGLY DISAGREE,AGREE,AGREE
Leslie Johnson,Female,233-56-9820,77,53930 Devon Corner Lake Rogermouth  NY 93500,93500,NY,STRONGLY DISAGREE,AGREE,AGREE
Paula Boone,Female,077-10-2966,20,9508 Spencer Centers Apt. 311 West Christopher  TN 29285,29285,TN,STRONGLY AGREE,AGREE,AGREE
Larry Taylor,Male,759-36-2372,34,USCGC Chen FPO AP 79405,79405,AP,AGREE,AGREE,STRONGLY DISAGREE
Linda Valdez,Female,094-13-3297,49,414 Joseph Expressway Apt. 854 Port Ashley  KS 52289,52289,KS,DISAGREE,don't know,STRONGLY AGREE
Carl Rodriguez,Male,618-86-1773,23,7506 Linda Lake Richardville  TX 83742,83742,TX,DISAGREE,AGREE,AGREE
Marc Campbell,Male,287-78-2377,43,71320 Guerrero Extension Suite 047 West Debraberg  CA 78073,78073,CA,AGREE,STRONGLY DISAGREE,DISAGREE
Brianna Holland,Female,371-79-2789,48,37712 Miller Common Maldonadotown  IA 36758,36758,IA,DISAGREE,STRONGLY AGREE,DISAGREE
Courtney Hernandez,Female,564-22-6077,41,3903 Sarah Stravenue Suite 186 Lake William  AR 55203,55203,AR,DISAGREE,DISAGREE,DISAGREE
Crystal Henson,Female,817-23-3733,41,231 Boyle Field Jamestown  MS 88359,88359,MS,DISAGREE,DISAGREE,STRONGLY AGREE
Jordan Johnson,Male,709-54-9662,37,055 Erica Groves Suite 869 West Rebeccaborough  SC 31405,31405,SC,AGREE,STRONGLY DISAGREE,sometimes
Stephen Fox,Male,100-95-2092,46,4528 Harper Street Apt. 236 Port Erin  NM 06194,6194,NM,STRONGLY DISAGREE,DISAGREE,AGREE
Steven Ruiz,Male,073-64-5696,68,0812 James Skyway North Rachelview  OK 45533,45533,OK,DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
Latoya Smith,Female,257-89-7566,78,59316 Brenda Street Apt. 569 Bartonview  CT 38157,38157,CT,STRONGLY AGREE,AGREE,STRONGLY AGREE
Tammy Mason,Female,769-32-8977,76,1850 Davis Extension South Johnnyton  MT 69662,69662,MT,AGREE,AGREE,STRONGLY AGREE
Joseph Crawford,Male,118-22-1028,31,PSC 2724  Box 6430 APO AP 19153,19153,AP,AGREE,DISAGREE,STRONGLY DISAGREE
Megan Brewer,Female,326-77-3454,63,2888 Eric Summit Suite 554 Gabrielfort  IL 57156,57156,IL,STRONGLY AGREE,STRONGLY DISAGREE,AGREE
Michelle Blackwell,Female,131-54-9499,21,336 Duffy Parkways Suite 031 Barkerport  CT 51273,51273,CT,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE
Nancy Williams,Female,662-21-1827,36,7429 Joseph Plaza Michellefort  KY 41343,41343,KY,STRONGLY AGREE,DISAGREE,sometimes
Sarah Green DVM,Female,196-22-8484,37,6525 Karen Via Apt. 107 Maryshire  MN 22797,22797,MN,AGREE,AGREE,STRONGLY DISAGREE
Julia Ross,Female,185-70-6727,47,PSC 7065  Box 7091 APO AE 26208,26208,AE,STRONGLY AGREE,DISAGREE,STRONGLY DISAGREE
Tyler Simmons,Male,407-77-0982,22,5576 Higgins Islands Ryanton  WV 76074,76074,WV,DISAGREE,STRONGLY DISAGREE,STRONGLY DISAGREE
Stephen Rice,Male,707-65-5698,58,1979 Long Estates Bradleymouth  OK 59757,59757,OK,DISAGREE,AGREE,AGREE
Karen Yang,Female,028-46-1319,62,38604 Miguel Wall Cookborough  OK 22131,22131,OK,AGREE,not sure,STRONGLY AGREE
Kerry Chapman,Female,789-92-9181,72,275 Lawrence Ports Bryanmouth  TN 54657,54657,TN,STRONGLY DISAGREE,AGREE,STRONGLY AGREE
Denise Moore,Female,269-09-5816,26,79499 Short Gardens Apt. 602 East Clairefort  WA 21148,21148,WA,STRONGLY AGREE,DISAGREE,STRONGLY AGREE
Lisa Carter,Female,791-42-4383,74,321 Jacqueline Circles East Amanda  MN 88659,88659,MN,AGREE,AGREE,STRONGLY DISAGREE
Dennis Turner,Male,417-84-7855,64,361 Johnson Lodge West Tony  NM 89237,89237,NM,STRONGLY AGREE,STRONGLY DISAGREE,DISAGREE
Matthew Lucas,Male,290-55-8239,44,13379 Christina Wall Suite 173 Sanfordfurt  RI 27771,27771,RI,DISAGREE,STRONGLY AGREE,DISAGREE
Megan Taylor,Female,866-68-3292,24,77853 Gomez Course Normanside  CT 18166,18166,CT,STRONGLY AGREE,AGREE,DISAGREE
Frank Garcia,Male,739-21-9743,35,960 Alexa Expressway Suite 737 Clarkport  CO 79956,79956,CO,DISAGREE,STRONGLY DISAGREE,no community
Gregory Harrison,Male,764-61-1718,73,0659 Thomas Course Bowershaven  MO 01054,1054,MO,AGREE,STRONGLY AGREE,STRONGLY DISAGREE
Terrance Kramer,Male,154-71-3885,59,USCGC Wells FPO AA 92201,92201,AA,DISAGREE,DISAGREE,DISAGREE
Marie Frank,Female,838-21-7101,44,9994 Russell Ports Jennyview  AR 93848,93848,AR,STRONGLY DISAGREE,STRONGLY AGREE,STRONGLY DISAGREE
Paige Sweeney,Female,072-85-1899,67,7667 Eric Fields Port David  MA 38216,38216,MA,STRONGLY AGREE,AGREE,DISAGREE
Chelsea Thompson,Female,388-53-3239,69,734 Hayes Dale East Ryan  NY 37624,37624,NY,DISAGREE,DISAGREE,STRONGLY DISAGREE
Jacob Schwartz,Male,016-02-7864,28,97965 Love Forges Jeffreyview  WV 95473,95473,WV,AGREE,DISAGREE,AGREE
Jessica Franklin,Female,577-90-8073,34,088 Stevens Ferry Apt. 798 Fisherville  NH 83989,83989,NH,STRONGLY AGREE,STRONGLY DISAGREE,AGREE
Alexander Duncan,Male,032-43-1455,29,062 Fields Pine Apt. 938 North Jose  NH 97819,97819,NH,AGREE,STRONGLY DISAGREE,sometimes
Mike Anderson,Male,847-77-4083,50,52000 Smith Shores Suite 229 Waltonville  NV 40413,40413,NV,DISAGREE,STRONGLY DISAGREE,DISAGREE
Joseph Morales,Male,505-21-3983,67,492 Tim Rapids Paulshire  DC 70648,70648,DC,STRONGLY DISAGREE,not sure,STRONGLY DISAGREE
Marissa Thompson,Female,845-19-4413,69,0439 Cassandra Springs West Kimberly  OK 59876,59876,OK,STRONGLY DISAGREE,AGREE,STRONGLY DISAGREE
Michele Palmer,Female,084-69-3838,62,7852 Sandra Ridges South Suzanneport  AR 84046,84046,AR,AGREE,DISAGREE,STRONGLY DISAGREE
Tonya Roberts,Female,846-27-4612,37,002 Dawson Garden Theresafort  TN 18477,18477,TN,AGREE,AGREE,DISAGREE
Juan Davis,Male,876-80-2916,63,3609 Ellis Skyway Apt. 268 Lisaville  OK 25534,25534,OK,AGREE,STRONGLY DISAGREE,AGREE
William Ochoa Jr.,Male,899-29-2891,58,731 Martin Harbor Apt. 629 West Catherine  MN 27866,27866,MN,AGREE,AGREE,AGREE
Samuel Santiago,Male,741-88-5392,56,4593 Duran Hollow Brightside  MA 93594,93594,MA,AGREE,AGREE,AGREE
Michael Lee,Male,479-38-4161,42,8425 Joe Creek Stevenberg  WY 08473,8473,WY,STRONGLY AGREE,STRONGLY AGREE,AGREE
Sandra Franklin,Female,304-25-6713,51,206 Brooks Street Suite 582 Port Denisemouth  FL 06358,6358,FL,DISAGREE,STRONGLY AGREE,DISAGREE
Rebecca Harris,Female,523-38-7127,66,USCGC King FPO AA 38206,38206,AA,STRONGLY AGREE,DISAGREE,DISAGREE
Cesar Freeman,Male,195-65-6712,42,761 Shea Ville Suite 479 Johnsonbury  HI 55736,55736,HI,AGREE,STRONGLY DISAGREE,STRONGLY AGREE
Paul Thomas,Male,338-96-7062,75,4597 Ellison Villages Apt. 442 New Erin  OK 06434,6434,OK,STRONGLY DISAGREE,DISAGREE,STRONGLY AGREE
Xavier Williams,Male,599-42-6262,29,3791 Victoria Expressway East Robertmouth  NH 13461,13461,NH,AGREE,AGREE,STRONGLY DISAGREE
Christopher Garcia,Male,683-93-9251,77,Unit 9145 Box 8983 DPO AA 10551,10551,AA,STRONGLY DISAGREE,DISAGREE,STRONGLY DISAGREE
Peggy Walker,Female,049-34-4304,47,PSC 4985  Box 8584 APO AA 12785,12785,AA,AGREE,DISAGREE,DISAGREE
Daniel Morgan,Male,266-06-9098,45,215 Chapman Mountains Apt. 529 Lake Heather  UT 57697,57697,UT,AGREE,STRONGLY DISAGREE,AGREE
Melissa Johnson,Female,754-25-5888,61,2475 Danny Point Suite 512 Hayeschester  OH 37559,37559,OH,STRONGLY AGREE,AGREE,DISAGREE
Deborah Hurley,Female,128-05-9921,18,20532 Thomas Lake South Matthew  AK 27646,27646,AK,NEUTRAL,STRONGLY DISAGREE,AGREE
Melissa Eaton,Female,675-89-9734,54,7640 Teresa Street Suite 338 Darrenmouth  TN 69710,69710,TN,AGREE,STRONGLY DISAGREE,STRONGLY AGREE
Colleen Cline,Female,869-17-4986,51,96392 Barry Spring Apt. 364 Elliottmouth  OK 76361,76361,OK,DISAGREE,DISAGREE,DISAGREE
Erica Jones,Female,569-09-1978,48,9970 Tyler Square Port Patricia  RI 65073,65073,RI,AGREE,AGREE,STRONGLY DISAGREE
Megan Graham,Female,606-72-7412,51,Unit 6130 Box 7556 DPO AE 73389,73389,AE,DISAGREE,STRONGLY AGREE,STRONGLY DISAGREE
Christine Rowland,Female,652-21-6986,41,18855 Frederick Corner Armstrongchester  WV 39840,39840,WV,STRONGLY AGREE,STRONGLY AGREE,DISAGREE
Ruth Jackson,Female,450-33-0364,39,601 Warren Oval West Steveburgh  NV 62559,62559,NV,STRONGLY AGREE,STRONGLY AGREE,DISAGREE
Ana Macias,Female,859-42-1006,25,36080 Randy Wells Lake Ronaldmouth  AZ 54297,54297,AZ,STRONGLY AGREE,DISAGREE,AGREE
Rachael Burns,Female,350-86-0442,25,03587 Andrew Ports Suite 689 Craigmouth  NE 11376,11376,NE,STRONGLY AGREE,STRONGLY DISAGREE,STRONGLY AGREE
Laura Myers,Female,017-75-9875,23,7693 Herman Island Jeffchester  MD 90938,90938,MD,STRONGLY AGREE,STRONGLY AGREE,STRONGLY AGREE
Erin Townsend,Female,274-45-8513,39,7316 Watson Spur Apt. 854 Mcgeeburgh  NY 65806,65806,NY,AGREE,maybe,AGREE
Kimberly Hernandez,Female,321-23-4482,65,153 Williams Mission East Meganstad  WV 34081,34081,WV,DISAGREE,DISAGREE,STRONGLY DISAGREE
Robin Bowman,Female,656-88-6028,34,098 Lisa Extension South Wendyport  NJ 81495,81495,NJ,STRONGLY AGREE,maybe,DISAGREE
Deanna Lloyd,Female,517-03-2196,21,98274 Amy Ways Port Holly  WY 57754,57754,WY,STRONGLY AGREE,STRONGLY AGREE,AGREE
Crystal Brown,Female,643-04-0759,42,5373 Patrick Union Ortizhaven  MN 74202,74202,MN,STRONGLY DISAGREE,DISAGREE,DISAGREE
Pamela Perez,Female,600-38-2969,32,98445 Chen Neck Suite 854 Kimberlyberg  KS 90517,90517,KS,NEUTRAL,STRONGLY DISAGREE,STRONGLY DISAGREE
